운동명,단위체중당에너지소비량,운동목적,운동강도,운동목적_리스트
바벨 스쿼트,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
다트,2.5,스트레스 해소,저강도,['스트레스 해소']
야구 캐치볼,2.5,스트레스 해소,저강도,['스트레스 해소']
당구,2.5,스트레스 해소,저강도,['스트레스 해소']
요가,2.5,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
하타 요가,2.5,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
파워요가,4.0,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
수리야 나마스까 요가,3.3,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
나디소다나 요가,2.0,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
스트레칭(가볍게),2.5,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
낚시,3.0,스트레스 해소,저강도,['스트레스 해소']
대청소,3.0,스트레스 해소,저강도,['스트레스 해소']
세차,3.0,스트레스 해소,저강도,['스트레스 해소']
볼링,3.0,스트레스 해소,저강도,['스트레스 해소']
유연체조,3.5,스트레스 해소,저강도,['스트레스 해소']
타이치,4.0,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
수중 에어로빅,4.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
팔굽혀펴기(격렬하게),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
푸쉬업(가볍게),3.0,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
푸쉬업(격렬하게),8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
런지(보통으로),3.8,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
레그 레이즈,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
와일드 런지,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
윗몸일으키기(가볍게),2.8,스트레스 해소,저강도,['스트레스 해소']
윗몸일으키기(격렬하게),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
크런치(가볍게),3.0,스트레스 해소,저강도,['스트레스 해소']
크런치(격렬하게),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
스쿼트,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
탁구랠리,4.0,스트레스 해소,중강도,['스트레스 해소']
태극권,4.0,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
아쿠아로빅,4.0,체력 향상,중강도,['체력 향상']
골프,4.8,스트레스 해소,중강도,['스트레스 해소']
라인댄스,7.8,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
싸이클론,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
사이클론,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
체스트 프레스,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
제자리뛰기,5.5,체력 향상,중강도,['체력 향상']
트랙걷기,4.5,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
운동장 걷기,4.5,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
배드민턴 랠리,4.5,스트레스 해소,중강도,['스트레스 해소']
걷기,4.5,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
농구슈팅 연습,4.5,스트레스 해소,중강도,['스트레스 해소']
재즈댄스,4.8,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
트위스트 댄스,4.8,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
헬스(격렬하게),7.8,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
테니스 복식경기,5.0,스트레스 해소,중강도,['스트레스 해소']
레프팅,5.0,체력 향상,중강도,['체력 향상']
에어로빅(저강도),5.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
에어로빅(중강도),6.5,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
에어로빅(고강도),7.3,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
댄스(가볍게),4.5,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
살사댄스,4.5,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
플라멩고,4.5,체력 향상,중강도,['체력 향상']
포크댄스,7.8,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
다이어트 댄스,4.5,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
싸이클,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
볼륨댄스,5.5,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
스포츠댄스,5.5,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
댄스스포츠,5.5,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
탱고,5.5,체력 향상,중강도,['체력 향상']
테니스 단식경기,7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
스케이팅,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
달리기/걷기,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
재즈사이즈,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
런닝머신(달리기),9.0,"체력 향상, 체중 감량, 체형 교정",고강도,"['체력 향상', '체중 감량', '체형 교정']"
웨이트운동(보통으로) - 전신,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
웨이트운동(가볍게) - 전신,3.5,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
저항성운동(가볍게) - 전신,3.5,스트레스 해소,저강도,['스트레스 해소']
보디빌딩(격렬하게),6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
보디빌딩(가볍게),3.5,스트레스 해소,저강도,['스트레스 해소']
레그 프레스,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
아령들기,5.5,체력 향상,중강도,['체력 향상']
훌라후프,5.5,체력 향상,중강도,['체력 향상']
캠핑,2.5,스트레스 해소,저강도,['스트레스 해소']
케틀벨,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
스텝박스,5.5,체력 향상,중강도,['체력 향상']
계단내려가기,3.0,스트레스 해소,저강도,['스트레스 해소']
계단오르기,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
스크린골프,4.0,스트레스 해소,중강도,['스트레스 해소']
턱걸이(보통으로),5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
풀업(가볍게) - 상지(어깨),2.8,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
풀업(보통으로) - 상지(어깨),3.8,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
로프운동,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
스키,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
스키(가볍게),5.0,체력 향상,중강도,['체력 향상']
스키머신(보통으로),6.8,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
하이킹,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
산책,4.0,체력 향상,중강도,['체력 향상']
산행,4.0,체력 향상,중강도,['체력 향상']
풋살,8.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
족구,5.5,스트레스 해소,중강도,['스트레스 해소']
에어로빅,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
수상스키,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
야구피칭,6.0,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
수영(자유영),6.1,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
자유수영,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
빠르게 걷기,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
모래주머니 차고 걷기,6.8,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
속보,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
권투펀칭,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
댄스(고강도),7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
등산,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
달리기,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
고정식자전거타기(30~50 Watts),3.5,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
고정식자전거타기(90~100 Watts),6.8,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
고정식자전거타기(161~200 Watts),11.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
고정식자전거타기(약하게),5.5,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
자전거타기,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
실내자전거타기(약하게),5.5,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
축구연습,7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
조깅,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
런닝,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
스피닝,9.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
서키트 트레이닝(격렬하게),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
수영(배영),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
배구시합,8.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
아이스하키,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
농구시합,8.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
줄넘기(빠르게),9.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
축구시합,10.0,"스트레스 해소, 체력 향상, 체중 감량",고강도,"['스트레스 해소', '체력 향상', '체중 감량']"
라켓볼 시합,10.0,"스트레스 해소, 체력 향상, 체중 감량",고강도,"['스트레스 해소', '체력 향상', '체중 감량']"
하프마라톤,9.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
킥복싱,10.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
암벽등반,11.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
수영(접영),11.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
산악자전거(격렬하게),14.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
BMX 자전거타기,8.5,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
"캠프 단체훈련(예, 해병대 캠프 등)",5.0,체력 향상,중강도,['체력 향상']
파워워킹,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
모던댄스,4.8,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
트래킹,5.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
뛰기,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
고정식자전거타기(보통으로),7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
고정식자전거타기(51~89 Watts),4.8,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
고정식자전거타기(101~160 Watts),8.8,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
고정식자전거타기(201~270 Watts),14.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
실내자전거타기,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
라켓볼연습,7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
축구 프리킥 차기,7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
비치발리볼,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
맨손 줄넘기,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
줄넘기(천천히),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
산악자전거(보통으로),8.5,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
프리스비 얼티메이트,8.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
마라톤,9.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
태권도,10.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
스쿼시,12.0,"스트레스 해소, 체력 향상, 체중 감량",고강도,"['스트레스 해소', '체력 향상', '체중 감량']"
산악자전거 시합,16.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
"건강증진 비디오 게임 격렬하게(예, 위피트 등)",7.2,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
커브스 30분 여성 순환운동,3.5,스트레스 해소,저강도,['스트레스 해소']
팔굽혀펴기(가볍게),3.0,스트레스 해소,저강도,['스트레스 해소']
팔굽혀펴기(보통으로),5.0,체력 향상,중강도,['체력 향상']
푸쉬업(보통으로),5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
니킥,5.5,체력 향상,중강도,['체력 향상']
런지(격렬하게),8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
사이드 런지,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
윗몸일으키기(보통으로),3.8,스트레스 해소,중강도,['스트레스 해소']
복근운동(가볍게),2.8,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
복근운동(격렬하게),8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
크런치(보통으로),5.0,체력 향상,중강도,['체력 향상']
점프 스쿼트,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
코어운동,4.5,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
렛풀다운,5.0,체력 향상,중강도,['체력 향상']
헬스(보통으로),5.5,체력 향상,중강도,['체력 향상']
근력운동(전신),5.5,체력 향상,중강도,['체력 향상']
하체 근력운동,5.0,체력 향상,중강도,['체력 향상']
웨이트운동(격렬하게) - 전신,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
저항성운동(격렬하게) - 전신,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
저항성운동(보통으로) - 전신,5.0,체력 향상,중강도,['체력 향상']
보디빌딩(보통으로),5.0,체력 향상,중강도,['체력 향상']
바벨 숄더프레스,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
브릿지,3.5,스트레스 해소,저강도,['스트레스 해소']
리버스 컬,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
턱걸이(가볍게),3.0,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
턱걸이(격렬하게),8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
풀업(격렬하게) - 상지(어깨),8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
서키트 트레이닝(보통으로),4.3,체력 향상,중강도,['체력 향상']
트램폴린(레크레이션적인),3.5,스트레스 해소,저강도,['스트레스 해소']
트램폴린(경쟁적인),4.5,체력 향상,중강도,['체력 향상']
타바타 운동,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
발레(일반적인),5.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
발레(격렬하게),6.8,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
