운동명,단위체중당에너지소비량,운동목적,운동강도,운동목적_리스트
점핑운동(레크레이션적인),3.5,스트레스 해소,저강도,['스트레스 해소']
점핑운동(경쟁적인),4.5,체력 향상,중강도,['체력 향상']
검도,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
펜싱,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
암워킹,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
런닝머신(걷기),4.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
승마운동기구,5.0,체력 향상,중강도,['체력 향상']
시티드 로우,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
국선도,4.5,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
양팔줄당기기(야외운동기구),2.5,스트레스 해소,저강도,['스트레스 해소']
근력운동,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
원 암 덤벨로우,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
필라테스(기구),5.0,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
슬로우버피(일반적인),5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
풀 스쿼트,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
복근운동(보통으로),3.8,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
이클립스,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
워킹,4.5,체력 향상,중강도,['체력 향상']
헬스(가볍게),5.0,체력 향상,중강도,['체력 향상']
디스코 댄스,7.8,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
줌바댄스,5.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
상체 근력운동,5.5,체력 향상,중강도,['체력 향상']
유도,10.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
"건강증진 비디오 게임 보통으로(예, 위피트 등)",3.8,스트레스 해소,중강도,['스트레스 해소']
배드민턴 시합,7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
고정식자전거(격렬하게),10.5,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
런지(가볍게),2.8,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
스쿠버 다이빙,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
복싱,7.8,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
트위스트 런,5.0,체력 향상,중강도,['체력 향상']
걷기(산책수준),3.0,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
워킹런지,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
공중걷기,3.5,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
프롭테라피,3.8,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
박스점프,5.5,체력 향상,중강도,['체력 향상']
암풀다운,4.0,체력 향상,중강도,['체력 향상']
시티드로우,4.0,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
스텝밀,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
덤벨 바디 로테이션,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
트라이셉스 푸시 다운,5.0,체력 향상,중강도,['체력 향상']
뒤로 걷기,3.0,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
수영(평영),5.3,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
실내 스케이팅,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
제자리 걷기,2.0,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
레그 익스텐션,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
이두 컬,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
해머 컬,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
덩키킥,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
허리돌리기(야외운동기구),2.5,스트레스 해소,저강도,['스트레스 해소']
팔돌리기(야외운동기구),2.5,스트레스 해소,저강도,['스트레스 해소']
등허리지압기(야외운동기구),2.5,스트레스 해소,저강도,['스트레스 해소']
크로스 핏,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
마운팅클라이밍,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
음파진동기,2.5,스트레스 해소,저강도,['스트레스 해소']
와이드 스쿼트,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
배구연습(일반적인),4.0,스트레스 해소,중강도,['스트레스 해소']
폼롤러,3.0,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
인클라인 벤치 프레스,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
스탠딩 카프 레이즈,5.0,체력 향상,중강도,['체력 향상']
백 익스텐션,3.5,스트레스 해소,저강도,['스트레스 해소']
버티기,1.0,스트레스 해소,저강도,['스트레스 해소']
할로우 보디홀드,3.0,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
천국의계단,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
홈트레이닝-유산소운동,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
프리테니스,7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
렛 풀 다운,5.0,체력 향상,중강도,['체력 향상']
게이트볼,3.0,스트레스 해소,저강도,['스트레스 해소']
킥 백,5.0,체력 향상,중강도,['체력 향상']
사이드 밴드,3.5,스트레스 해소,저강도,['스트레스 해소']
사이드 크런치,4.0,체력 향상,중강도,['체력 향상']
산악mtB,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
벤트 오버 레터럴 레이즈,5.5,체력 향상,중강도,['체력 향상']
밸리댄스,4.5,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
(윈드)서핑,5.0,체력 향상,중강도,['체력 향상']
버피테스트,83.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
덤벨 프레스,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
방송댄스,7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
리버스 팩 덱 플라이,4.0,체력 향상,중강도,['체력 향상']
슈퍼맨자세,5.0,체력 향상,중강도,['체력 향상']
조정(로잉머신),4.8,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
"주짓수_시합, 격렬하게",10.3,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
국민체조,3.5,스트레스 해소,저강도,['스트레스 해소']
파크골프,4.3,스트레스 해소,중강도,['스트레스 해소']
어시스트 풀업,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
스포츠클라이밍,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
인터벌 런닝,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
수영(IM),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
힙 어브덕션,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
점프 버피테스트,8.5,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
행잉 레그레이즈,10.0,"체력 향상, 체중 감량, 체형 교정",고강도,"['체력 향상', '체중 감량', '체형 교정']"
세라밴드,3.5,스트레스 해소,저강도,['스트레스 해소']
마운틴 클라이머,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
슬릭부스트,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
랫플다운,4.0,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
팔굽혀매달리기,5.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
폴댄스,5.5,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
태보,7.0,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
레그 레이즈,3.4,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
오리발 수영,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
벤트 오버 바벨 로우,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
제기차기,3.0,스트레스 해소,저강도,['스트레스 해소']
플라잉 요가,4.0,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
리어델트 머신,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
케이블 크로스 오버,5.0,체력 향상,중강도,['체력 향상']
맨발걷기,4.5,"스트레스 해소, 체력 향상, 체중 감량",중강도,"['스트레스 해소', '체력 향상', '체중 감량']"
씨름,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
플랭크,3.8,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
레그 컬,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
루마니안 데드리프트,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
앉아서 다리들기,2.5,스트레스 해소,저강도,['스트레스 해소']
런닝머신(빠르게걷기),6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
레터럴 레이즈,5.0,체력 향상,중강도,['체력 향상']
승마(천천히),3.8,스트레스 해소,중강도,['스트레스 해소']
승마(빠르게),5.8,체력 향상,중강도,['체력 향상']
타바타운동,9.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
마이마운틴,5.5,체력 향상,중강도,['체력 향상']
로드자전거(중강도),8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
누워서 걷기,3.5,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
테스트(중구보건소),13.0,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
W익스텐션,4.0,체력 향상,중강도,['체력 향상']
킥복싱,5.0,체력 향상,중강도,['체력 향상']
백 스쿼트,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
15초인터벌트레이닝!,8.8,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
스쿼트 덤벨 프레스,7.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
고전무용,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
평행봉,5.5,체력 향상,중강도,['체력 향상']
스티프 레그 데드리프트,8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
수중 걷기,3.5,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
덤벨 숄더프레스,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
철봉매달리기,3.8,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
트라이셉스 익스텐션,5.0,체력 향상,중강도,['체력 향상']
펙덱 플라이,5.5,체력 향상,중강도,['체력 향상']
벤치 프레스,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
스케이팅,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
짐볼운동,3.8,스트레스 해소,중강도,['스트레스 해소']
108배,2.0,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
덤벨 플라이,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
버피테스트,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
"주짓수_훈련, 연습",5.3,체력 향상,중강도,['체력 향상']
패들보드,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
국궁,4.3,체력 향상,중강도,['체력 향상']
기체조,4.5,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
러시안트위스트,4.0,체력 향상,중강도,['체력 향상']
일립티컬,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
크로스 크런치,4.5,체력 향상,중강도,['체력 향상']
아쉬탕가 요가,5.0,"스트레스 해소, 체형 교정",중강도,"['스트레스 해소', '체형 교정']"
슈퍼맨로우,4.0,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
딥스,5.5,체력 향상,중강도,['체력 향상']
악력기 운동,1.3,스트레스 해소,저강도,['스트레스 해소']
버드독,3.8,스트레스 해소,중강도,['스트레스 해소']
컨벤셔널 데드리프트,8.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
탁구시합,5.0,스트레스 해소,중강도,['스트레스 해소']
EMS트레이닝,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
데드버그,4.0,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
인라인스케이트,5.0,체력 향상,중강도,['체력 향상']
사이드 플랭크,3.8,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
고블릿 스쿼트,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
AB 롤아웃,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
SNPE,5.0,체력 향상,중강도,['체력 향상']
로드바이크,8.5,"체력 향상, 체중 감량",고강도,"['체력 향상', '체중 감량']"
플로터킥,5.0,체력 향상,중강도,['체력 향상']
사이드 레그레이즈,4.0,"체력 향상, 체형 교정",중강도,"['체력 향상', '체형 교정']"
벽 스쿼트,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
TRX 운동,7.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
월볼샷,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
시티드 니업,5.0,체력 향상,중강도,['체력 향상']
데드 리프트,5.5,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
벤치딥스,3.0,"체력 향상, 체형 교정",저강도,"['체력 향상', '체형 교정']"
고양이자세,3.5,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
프론트 풀다운,4.0,체력 향상,중강도,['체력 향상']
픽시자전거,8.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
노르딕워킹,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
난타,3.8,"스트레스 해소, 체력 향상",중강도,"['스트레스 해소', '체력 향상']"
프론트 레이즈,5.0,체력 향상,중강도,['체력 향상']
사이드 레터럴 레이즈,5.0,체력 향상,중강도,['체력 향상']
제자리 걷기,2.0,"체력 향상, 체중 감량",저강도,"['체력 향상', '체중 감량']"
필라테스,3.0,"스트레스 해소, 체형 교정",저강도,"['스트레스 해소', '체형 교정']"
양팔벌려 제자리 뛰기(PT체조),3.0,스트레스 해소,저강도,['스트레스 해소']
정구 단식경기(일반적인),7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
정구 복식경기,5.0,체력 향상,중강도,['체력 향상']
(SUP)서핑,6.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
딥다라인 댄스,3.0,"스트레스 해소, 체력 향상",저강도,"['스트레스 해소', '체력 향상']"
로우,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
풀업(턱걸이),5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
레그 킥 백,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
프리다이빙,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
힙 쓰러스트,6.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
스플릿 스쿼트,5.0,"체력 향상, 체중 감량, 체형 교정",중강도,"['체력 향상', '체중 감량', '체형 교정']"
새천년체조,3.5,스트레스 해소,저강도,['스트레스 해소']
훌라후프,4.0,체력 향상,중강도,['체력 향상']
번지피지오,5.0,체력 향상,중강도,['체력 향상']
wty운동,7.0,"체력 향상, 체중 감량",중강도,"['체력 향상', '체중 감량']"
스텝퍼,5.0,체력 향상,중강도,['체력 향상']
